NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Abbott, Maude Elizabeth Seymour","Abbott, Maude Elizabeth Seymour",3655 Promenade Sir-William-Osler,"Osler Library, McGill University",Montréal,Quebec,Prominent pioneer in medicine and research on heart disease,Pionnière éminente de la médecine et de la recherche sur les maladies coronariennes,45.502488,-73.582047
"Abbott, Sir John Joseph Caldwell","Abbott, Sir John Joseph Caldwell",<Null>,Post Office Building,Saint-André-Est,Quebec,Prime Minister of Canada (1891-92),Premier ministre du canada (1891-1892),45.558104,-74.333741
"Aberdeen, Lady (Ishbel Maria Marjoribanks)","Aberdeen, Lady (Ishbel Maria Marjoribanks)",Sussex Drive,Entrance driveway of Rideau Hall and Landscaped Grounds NHSC,Ottawa,Ontario,"Founded National Council of Women, established Victorian Order of Nurses (VON)",Fondatrice du Conseil national des femmes; fondatrice des infirmières de l'Ordre de Victoria,45.4444,-75.687
"Aberhart, William","Aberhart, William",1019 1st N.W.,Inside Crescent Heights High School,Calgary,Alberta,"Headed first Canadian Social Credit Party, Premier of Alberta (1935-43)","Chef du premier parti du Crédit social au Canada, premier ministre de l'Alberta (1935-1943)",51.06144,-114.065598
"Adams, Frank Dawson","Adams, Frank Dawson",859 Sherbrooke St. West,"Redpath Museum, McGill University",Montréal,Quebec,"Geologist, developed science of modern structural geology","Géologue, père de la tectonique moderne",45.504107,-73.577149
"Adams, Mary Electa","Adams, Mary Electa",<Null>,Mount Allison University,*    Sackville,New Brunswick,At the forefront of reforms to the traditional approach to women's education in Canada,A été l'instigatrice de réformes destinées à modifier l'enseignement traditionnel dispensé aux femmes au Canada,45.899059,-64.373901
"Akins, Thomas Beamish","Akins, Thomas Beamish",6016 University Avenue (corner of University Ave. and Robie St.),Public Archives Building,Halifax,Nova Scotia,"Historian, first archivist of Nova Scotia","Historien, premier archiviste de la Nouvelle-Écosse",44.637695,-63.586041
"Albani, Emma Lajeunesse Gye","Albani, Emma Lajeunesse Gye dite",420 Martel Street West,<Null>,Chambly,Quebec,Internationally renowned opera soprano,Cantatrice soprano de renommé internationale,45.455844,-73.291978
"Albright, William Donald","Albright, William Donald",<Null>,Beaverlodge Research Farm,Beaverlodge,Alberta,"Journalist and agriculturalist, promoted development of Peace River district","Journaliste et agronome, promoteur du développement du district de Peace River",55.218203,-119.434817
"Allison, Susan Louisa Moir","Allison, Susan Louisa Moir",167 Vermilion Avenue,Princeton and District Museum and Archives,*    Princeton,British Columbia,Earliest woman memoirist of pioneer life in interior British Columbia; recorded stories and legends of the Similkameen and Okanagan First Nations,Première mémorialiste à porter un témoignage sur la vie des pionniers dans la région intérieure de la Colombie-Britannique; couché sur le papier récits et légendes des peuples similkameen et okanagan,49.458633,-120.508661
"Allward, Walter Seymour","Allward, Walter Seymour",West and Albion Street,Bell Telephone Memorial,Brantford,Ontario,Outstanding Canadian sculptor in the first quarter of the 20th-century,Remarquable sculpteur canadien du premier quart du XXe siècle,43.1413,-80.26805
"Archibald, Dr. Edward William","Archibald, docteur Edward William",687 Pine Avenue West,Royal Victoria Hospital,Montréal,Quebec,Leading Canadian thoracic surgeon in the 1920's who advanced medical knowledge,Chirurgien thoracique avant-gardiste des années 1920 qui a fait progresser les connaissances médicales,45.506562,-73.580977
"Archibald, Edith Jessie","Archibald, Edith Jessie",977 Young Street,Women's Council House,Halifax,Nova Scotia,Key figure in the Nova Scotian women's fight for the vote,Figure clé du combat des femmes pour obtenir le droit de vote en Nouvelle-Écosse,44.634193,-63.575608
"Archibald, Samuel George William","Archibald, Samuel George William",1 Church Street,Court House,Truro,Nova Scotia,"Attorney General of Nova Scotia (1831-41), Chief Justice of Prince Edward Island (1824-28)","Procureur général de la Nouvelle-Écosse (1831-1841), juge en chef de l'Île-du-Prince-Édouard (1824-1828)",45.365511,-63.275901
"Archibald, Sir Adams George","Archibald, sir Adams George",1 Church St.,Court House,Truro,Nova Scotia,"Father of Confederation, Lieutenant-Governor of Manitoba and Northwest Territories (1870-72), Nova Scotia (1873-83)","Père de la Confédération, lieutenant-gouverneur du Manitoba et des Territoires du Nord-Ouest (1870-1872), de la Nouvelle-Écosse (1873-1883)",45.365631,-63.275911
"Atkinson, Joseph E.","Atkinson, Joseph E.",1 Yonge Street,Mounted inside on wall of Toronto Star Office,Toronto,Ontario,"Influential owner and editor of the Toronto ""Star"", philanthropist","Propriétaire et rédacteur influent du Toronto «Star», philanthrope",43.642576,-79.374708
"Aubert de Gaspé, Philippe","Aubert de Gaspé, Philippe",710 de Gaspé Ouest,<Null>,Saint-Jean-Port-Joli,Quebec,"Writer of ""Les anciens Canadiens"" (1863)  and ""Mémoires"" (1866)",Auteur de «Anciens Canadiens» (1863) et de «Mémoires» (1866),47.216667,-70.266667
